SentenceNo,SequenceNo,Speaker,Text
0,1,TAPPER,"I'm Jake Tapper. We're live at the Ronald Reagan Library in Simi Valley, California for the main event. Round 2 of CNN's presidential debate starts now."
1,1,TAPPER,"The eleven leading Republican candidates for president are at their podiums. They are ready to face off, and if you've been watching this race, you know anything could happen over the next few hours."
2,1,TAPPER,"To viewers who are just joining us, welcome to the Air Force One Pavilion of the Ronald Reagan Presidential Library. Our thanks to the staff here and especially to former first lady Nancy Reagan for this impressive setting with Ronald Reagan's presidential plane as our backdrop."
3,1,TAPPER,(APPLAUSE)
4,2,TAPPER,This debate is airing on CNN networks in the United States and around the world. It's also being broadcast on the Salem Radio Network. I know everyone is very eager to get started.
5,2,TAPPER,"But first, I want to explain the ground rules tonight. My name is Jake Tapper. I'll be the moderator. I will be joined in the questioning by Salem Radio Network talk show host Hugh Hewitt. He worked in the Reagan administration for six years. And by CNN's chief political correspondent Dana Bash."
6,2,TAPPER,"I will ask follow-up questions, I will attempt to guide the discussion. Candidates, I will try to make sure each of you gets your fair share of questions. You'll have one minute to answer and 30 seconds for follow-ups and rebuttals. I'll give you time to respond if you've been singled out for criticism."
7,2,TAPPER,Our viewers should know we have timing lights that are visible to the candidates to warn them when their time is up. These 11 Republicans are positioned on the stage based on their ranking in recent national polls.
8,2,TAPPER,"Our goal for this evening is a debate. A true debate, with candidates addressing each other in areas where they differ. Where they disagree - on policy, on politics, on leadership. Now, let's begin."
9,2,TAPPER,"I'd like to invite each candidate to take 30 seconds to introduce him or herself to our audience. First to you, Senator Paul."
10,3,PAUL,"Good evening, everyone. I'm an eye surgeon from Bowling Green, Kentucky. My wife, Kelly, and I have been married for nearly 25 years, and I spend my days defending the Constitution and the Bill of Rights."
11,3,PAUL,"I think there's nothing more important than understanding that the Constitution restrains government, not the people."
12,3,PAUL,Thank you.
13,3,PAUL,(APPLAUSE)
14,4,HUCKABEE,I'm Mike Huckabee. I'm delighted to be on this stage with some remarkable fellow Republicans.
15,4,HUCKABEE,"None of us are a self-professed socialist. None of us on this state are under investigation by the FBI because we destroyed government records, or because we leaked secrets."
16,4,HUCKABEE,"I know that there are some in the Wall-Street-to-Washington axis of power who speak of all of us contemptuously. But I'm here to say that I think we are, in fact, the A team."
17,4,HUCKABEE,"We have some remarkable people, and, in fact, not only are we the A team; we even have our own Mr. T, who doesn't mind saying about others, ""you're a fool."""
18,4,HUCKABEE,"And I'm delighted to be here with all of these guys, and would put any of them in an administration that I led. Thank you very much."
19,4,HUCKABEE,(APPLAUSE)
20,5,RUBIO,"Thank you. My name is Marco Rubio. I'm from Florida. My wife Jeanette and I are the proud - we've been married 17 years, and we're the proud parents of four children, two of whom were able to join us here this evening."
21,5,RUBIO,"I'm honored to be here at the Reagan Library, at a place that honors the legacy of a man who inspired not just my interest in public service, but also our love for country."
22,5,RUBIO,"And I'm also aware that California has a drought, and so that's why I made sure I brought my own water."
23,5,RUBIO,(LAUGHTER)
24,6,TAPPER,Senator Cruz?
25,7,CRUZ,"I'm Ted Cruz. I am the son of an Irish-Italian mom and a Cuban immigrant dad who fled oppression and came to America seeking freedom. I'm a husband to my best friend, Heidi, who's here tonight. I'm a dad to two little girls who are the loves of my life, Caroline and Catherine."
26,7,CRUZ,"If you're fed up with Washington, if you're looking for someone to stand up to career politicians in both parties, I'm the only one on this stage who has done that over and over again, and if we stand together, we can bring America back."
27,8,CARSON,"Hi, I'm Ben Carson, and I'm a retired pediatric neurosurgeon. I'm here with my wife, Candy, of 40 years, and two of my sons, and their wives."
