SentenceNo,SequenceNo,Speaker,Text
0,1,KELLY,"Welcome to the first debate night of the 2016 presidential campaign, live from Quicken Loans Arena in Cleveland, Ohio."
1,1,KELLY,I'm Megyn Kelly...
2,1,KELLY,(APPLAUSE)
3,1,KELLY,"... along with my co-moderators, Brett Baier and Chris Wallace."
4,1,KELLY,Tonight...
5,1,KELLY,(APPLAUSE)
6,1,KELLY,Nice.
7,1,KELLY,"Tonight, thousands of people here in the Q, along with millions of voters at home will get their very first chance to see the candidates face off in a debate, answering the questions you want answered."
8,2,BAIER,"Less than a year from now, in this very arena, one of these 10 candidates or one of the seven on the previous debate tonight will accept the Republican party's nomination."
9,2,BAIER,(APPLAUSE)
10,2,BAIER,"Tonight's candidates were selected based on an average of five national polls. Just a few hours ago, you heard from the candidates ranked 11th through 17. And now, the prime-time event, the top 10."
11,3,WALLACE,"Also of note, Fox News is partnering for tonight's debate with Facebook. For the past several weeks, we've been asking you for questions for the candidates on Facebook. Nearly 6 million of you, 6 million, viewed the debate videos on our site, and more than 40,000 of you submitted questions: some of which you will hear us asking the candidates tonight."
12,4,KELLY,As for the candidates who will be answering those questions? Here they are.
13,4,KELLY,"Positioned on the stage by how they stand in the polls, in the center of the stage tonight, businessman Donald Trump."
14,4,KELLY,(APPLAUSE)
15,4,KELLY,Former Florida Governor Jeb Bush.
16,4,KELLY,(APPLAUSE)
17,4,KELLY,Wisconsin Governor Scott Walker.
18,4,KELLY,(APPLAUSE)
19,4,KELLY,Former Arkansas Governor Mike Huckabee.
20,4,KELLY,(APPLAUSE)
21,5,BAIER,"Neurosurgeon, Dr. Ben Carson."
22,5,BAIER,(APPLAUSE)
23,5,BAIER,Texas Senator Ted Cruz.
24,5,BAIER,(APPLAUSE)
25,5,BAIER,Florida Senator Marco Rubio.
26,5,BAIER,(APPLAUSE)
27,6,WALLACE,Kentucky Senator Rand Paul.
28,6,WALLACE,(APPLAUSE)
29,6,WALLACE,New Jersey Governor Chris Christie.
30,6,WALLACE,(APPLAUSE) And your very own governor of Ohio...
31,6,WALLACE,(APPLAUSE)
32,6,WALLACE,... John Kasich.
33,6,WALLACE,(APPLAUSE)
34,7,WALLACE,"Brett -- Brett, I think you would call that a home field advantage."
35,8,BAIER,It might be. It might be. We'll see.
36,9,(UNKNOWN),Is this in the rules? An objection's coming.
37,10,BAIER,"It might be. The rules for tonight are simple. One minute for answers, 30 seconds for follow-ups. And if a candidate runs over, you'll hear this."
38,10,BAIER,"Pleasant, no?"
39,10,BAIER,"We also have a big crowd here with us tonight in the home of the Cavaliers, as I mentioned."
40,10,BAIER,And while we expect them...
41,10,BAIER,(APPLAUSE)
