SentenceNo,SequenceNo,Speaker,Text,PolarityScore
0,1,TAPPER,"I'm Jake Tapper. We're live at the Ronald Reagan Library in Simi Valley, California for the main event. Round 2 of CNN's presidential debate starts now.",0.1515151515151515
1,1,TAPPER,"The eleven leading Republican candidates for president are at their podiums. They are ready to face off, and if you've been watching this race, you know anything could happen over the next few hours.",0.0
2,1,TAPPER,"To viewers who are just joining us, welcome to the Air Force One Pavilion of the Ronald Reagan Presidential Library. Our thanks to the staff here and especially to former first lady Nancy Reagan for this impressive setting with Ronald Reagan's presidential plane as our backdrop.",0.3625
3,1,TAPPER,(APPLAUSE),0.0
4,2,TAPPER,This debate is airing on CNN networks in the United States and around the world. It's also being broadcast on the Salem Radio Network. I know everyone is very eager to get started.,0.0
5,2,TAPPER,"But first, I want to explain the ground rules tonight. My name is Jake Tapper. I'll be the moderator. I will be joined in the questioning by Salem Radio Network talk show host Hugh Hewitt. He worked in the Reagan administration for six years. And by CNN's chief political correspondent Dana Bash.",0.0
6,2,TAPPER,"I will ask follow-up questions, I will attempt to guide the discussion. Candidates, I will try to make sure each of you gets your fair share of questions. You'll have one minute to answer and 30 seconds for follow-ups and rebuttals. I'll give you time to respond if you've been singled out for criticism.",0.6
7,2,TAPPER,Our viewers should know we have timing lights that are visible to the candidates to warn them when their time is up. These 11 Republicans are positioned on the stage based on their ranking in recent national polls.,0.0
8,2,TAPPER,"Our goal for this evening is a debate. A true debate, with candidates addressing each other in areas where they differ. Where they disagree - on policy, on politics, on leadership. Now, let's begin.",0.11249999999999999
9,2,TAPPER,"I'd like to invite each candidate to take 30 seconds to introduce him or herself to our audience. First to you, Senator Paul.",0.0
10,3,PAUL,"Good evening, everyone. I'm an eye surgeon from Bowling Green, Kentucky. My wife, Kelly, and I have been married for nearly 25 years, and I spend my days defending the Constitution and the Bill of Rights.",0.175
11,3,PAUL,"I think there's nothing more important than understanding that the Constitution restrains government, not the people.",0.45
12,3,PAUL,Thank you.,0.0
13,3,PAUL,(APPLAUSE),0.0
14,4,HUCKABEE,I'm Mike Huckabee. I'm delighted to be on this stage with some remarkable fellow Republicans.,0.725
15,4,HUCKABEE,"None of us are a self-professed socialist. None of us on this state are under investigation by the FBI because we destroyed government records, or because we leaked secrets.",0.0
16,4,HUCKABEE,"I know that there are some in the Wall-Street-to-Washington axis of power who speak of all of us contemptuously. But I'm here to say that I think we are, in fact, the A team.",0.0
17,4,HUCKABEE,"We have some remarkable people, and, in fact, not only are we the A team; we even have our own Mr. T, who doesn't mind saying about others, ""you're a fool.""",0.45
18,4,HUCKABEE,"And I'm delighted to be here with all of these guys, and would put any of them in an administration that I led. Thank you very much.",0.7
19,4,HUCKABEE,(APPLAUSE),0.0
20,5,RUBIO,"Thank you. My name is Marco Rubio. I'm from Florida. My wife Jeanette and I are the proud - we've been married 17 years, and we're the proud parents of four children, two of whom were able to join us here this evening.",0.5875
21,5,RUBIO,"I'm honored to be here at the Reagan Library, at a place that honors the legacy of a man who inspired not just my interest in public service, but also our love for country.",0.25
22,5,RUBIO,"And I'm also aware that California has a drought, and so that's why I made sure I brought my own water.",0.45
23,5,RUBIO,(LAUGHTER),0.0
24,6,TAPPER,Senator Cruz?,0.0
25,7,CRUZ,"I'm Ted Cruz. I am the son of an Irish-Italian mom and a Cuban immigrant dad who fled oppression and came to America seeking freedom. I'm a husband to my best friend, Heidi, who's here tonight. I'm a dad to two little girls who are the loves of my life, Caroline and Catherine.",0.0
26,7,CRUZ,"If you're fed up with Washington, if you're looking for someone to stand up to career politicians in both parties, I'm the only one on this stage who has done that over and over again, and if we stand together, we can bring America back.",0.0
27,8,CARSON,"Hi, I'm Ben Carson, and I'm a retired pediatric neurosurgeon. I'm here with my wife, Candy, of 40 years, and two of my sons, and their wives.",0.0
28,8,CARSON,"I stress the pediatric part of my career because the reason that I've gotten involved in this race is because I'm very concerned about the future of our children, and the direction of our country is one that does not portend well, unless we, the people, intervene and retake our rightful place at the pinnacle.",0.1
29,8,CARSON,"And I just want to be - make it clear that I'm grateful to be here with all of you again, and welcome the addition of Carly Fiorina, as well.",0.45
30,8,CARSON,(APPLAUSE),0.0
31,9,TRUMP,"I'm Donald Trump. I wrote ""The Art of the Deal"". I say not in a braggadocious way, I've made billions and billions of dollars dealing with people all over the world, and I want to put whatever that talent is to work for this country so we have great trade deals, we make our country rich again, we make it great again. We build our military, we take care of our vets, we get rid of Obamacare, and we have a great life altogether.",0.6583333333333333
32,9,TRUMP,Thank you. Thank you.,0.0
33,9,TRUMP,(APPLAUSE),0.0
34,10,BUSH,"I'm Jeb Bush, and I believe America's on the verge of its greatest century, and I'm ready to lead. I'm a committed, conservative reformer that cut taxes, that balanced budgets, that took on the special interest in Florida, and we won.",0.35714285714285715
35,10,BUSH,"I look forward to talking tonight about how we can fix a broken Washington D.C., and create an environment where people can rise up again in this great country.",0.2
36,10,BUSH,Thank you.,0.0
37,10,BUSH,(APPLAUSE),0.0
38,11,WALKER,"Good evening, I'm Scott Walker, and tonight, I want to thank Mrs. Reagan, and the Reagan Library for hosting us. You see, in my lifetime, the greatest president was a governor from California. Ronald Reagan knew how to go big, and go bold. He understood the essence of moving this country forward, and that's what I did when I took on the status quo in my state, and the Washington based special interest.",0.35714285714285715
39,11,WALKER,"Now, more than ever, America needs a leader who will go big and bold again. Someone who's been tested. I'm ready to be that leader. Thank you.",0.27777777777777773
40,11,WALKER,(APPLAUSE),0.0
41,12,FIORINA,"Good evening. My story, from secretary to CEO, is only possible in this nation, and proves that everyone of us has potential. My husband, Frank, of 30 years, started out driving a tow truck for a family owned auto body shop. We have come to a pivotal point in our nation's history where this nation's possibilities and potential are being crushed by a government grown so big, so powerful, so inept, so corrupt, and a political class that refuses to do anything about it.",0.028571428571428564
42,12,FIORINA,I am prepared to lead the resurgence of this great nation.,0.8
43,12,FIORINA,(APPLAUSE),0.0
44,13,KASICH,"Hello, I'm John Kasich, the Governor of Ohio. Emma, and Reese, my children, and Karen, love 'ya girls. Thanks for watching tonight.",0.5
